Beacon List for 47088MHz - 29 Nov, 2022

Beacon,Frequency,Locator,Last Spotted,Last Frequency,Status,ODX(km),Dist(km),Bearing
HG8BEA,47088.0070,KN06DP23,2019-08-10,47088.0070,Dead/lost - ,33,752,74
HG8BEB,47088.0070,JN96VQ95,2020-01-02,47088.0070,Dead/lost - ,62,720,73
SR6GHC,47088.0820,JO80JG61,2021-07-05,47088.0820,Uncertain - new spot required,33,721,36
DB0QQ,47088.1000,JO31RI,0000-00-00,,Uncertain - new spot required,,729,341
F5ZEF,47088.2000,IN94QT,0000-00-00,0.0000,Uncertain - new spot required,0,900,271
OK0ER,47088.2100,JN99DP,0000-00-00,0.0000,Uncertain - new spot required,0,752,46
OK0EA,47088.3360,JO70UP,2021-10-30,47088.0800,Uncertain - new spot required,266,709,29
DB0FGB,47088.8000,JO50WB22,2020-07-20,47088.8000,Uncertain - new spot required,162,547,8
DB0MOT,47088.8500,JO40FF33,2022-01-16,47088.8500,Operational,15,587,344
DB0KK,47088.8500,JO62RM76,2021-03-30,47088.8500,Uncertain - new spot required,175,840,13
DB0GW,47088.8500,JO31JK,0000-00-00,,Planned - LICENSED, AWAITING INSTALLATION OF HARDWARE,,755,338
DL0WY,47088.8540,JN67AQ,2022-11-11,47088.8560,Operational on spot date,191,294,19
DB0JK,47088.8650,JO30LW,0000-00-00,0.0000,Planned - AWAITING INSTALLATION OF NEW HARDWARE,0,700,337
OE5XBM,47088.8750,JN78DJ29,2022-01-25,47088.8770,Operational,276,446,35
GB3SCQ,47088.9050,IO80UU59,2022-05-12,47088.9050,Operational,79,1160,308
PI7ALK,47088.9200,JO22IP61,2022-03-23,47088.9200,Operational,56,939,334
DB0VC,47088.9200,JO54IF,2022-06-15,47088.9200,Operational,226,1006,360
GB3CCX,47088.9400,IO81XW81,2018-10-21,47088.9400,Offline - QRT FROM 25 FEB 2019 NEW SITE NEEDED,80,1203,313
GB3CSB,47088.9850,IO75XX,0000-00-00,0.0000,Planned - PROTOTYPING...,0,1588,325


--- End of list ---
